,FOOD NAME,GROUP
869,Pomes,Fruits
870,Brassicas,Vegetables
871,Cereals and cereal products,Cereals and cereal products
872,Citrus,Fruits
873,Cocoa and cocoa products,Cocoa and cocoa products
874,Coffee and coffee products,Coffee and coffee products
875,Crustaceans,Aquatic foods
876,Milk and milk products,Milk and milk products
877,Fats and oils,Fats and oils
878,Fishes,Aquatic foods
879,Herbs and Spices,Herbs and Spices
880,Pulses,Pulses
881,Animal foods,Animal foods
882,Mollusks,Aquatic foods
883,Nuts,Nuts
884,Beverages,Beverages
885,Fruits,Fruits
886,Green vegetables,Vegetables
887,Root vegetables,Vegetables
888,Sunburst squash (pattypan squash),Gourds
